"","stage","sp","modName","parName","Estimate","Std..Error"
"204","larva","Busseola fusca","briere1_99","aa",2.12021415879424e-05,1.04858874490129e-05
"205","larva","Busseola fusca","briere1_99","Tmin",9.19681071817571,4.34882233954032
"206","larva","Busseola fusca","briere1_99","Tmax",33.2051730181106,2.56306198679749
"207","larva","Busseola fusca","briere2_99","aa",3.31647728687418e-05,3.17146162849194e-05
"208","larva","Busseola fusca","briere2_99","Tmin",6.78922043472973,14.575932001683
"209","larva","Busseola fusca","briere2_99","Tmax",31.067149731023,5.93447825625849
"210","larva","Busseola fusca","briere2_99","bb",3.91245474777825,11.6970823715034
"211","larva","Busseola fusca","kontodimas_04","aa",6.29694524324967e-06,5.68798944220325e-06
"212","larva","Busseola fusca","kontodimas_04","Tmin",7.68074803274688,3.69332304639574
"213","larva","Busseola fusca","kontodimas_04","Tmax",37.6392311464927,5.24359235423202
"214","larva","Busseola fusca","shi_11","cc",34.665246207514,240809.648239779
"215","larva","Busseola fusca","shi_11","k1",4.67143774936387e-05,0.324631971598412
"216","larva","Busseola fusca","shi_11","T1",9.93482049085164,10.6599053979132
"217","larva","Busseola fusca","shi_11","k2",0.504058686959174,3.29132949684258
"218","larva","Busseola fusca","shi_11","T2",32.5370756053118,11.0293889188503
"219","larva","Busseola fusca","perf2_11","cc",0.00161869204136443,0.000925245803959437
"220","larva","Busseola fusca","perf2_11","T1",9.93307212070648,4.71107049008653
"221","larva","Busseola fusca","perf2_11","k",0.503832698893709,1.58624048524651
"222","larva","Busseola fusca","perf2_11","T2",32.537527686261,6.65841098856396
"223","larva","Busseola fusca","regniere_12","phi",0.0082713477343091,98.5598665735482
"224","larva","Busseola fusca","regniere_12","bb",0.147002913782447,35.1090757939398
"225","larva","Busseola fusca","regniere_12","Tb",14.2747409938812,96541.3562602244
"226","larva","Busseola fusca","regniere_12","Tm",33.2908476270837,14.4523859699948
"227","larva","Busseola fusca","regniere_12","deltab",0.0389840460653323,5441.03438124623
"228","larva","Busseola fusca","regniere_12","deltam",5.28498903691303,663.045398837379
"229","pupa","Busseola fusca","analytis_77","aa",7.52569449736125e-14,2.99949607384512e-11
"230","pupa","Busseola fusca","analytis_77","bb",6.46789035911871,81.4475794177929
"231","pupa","Busseola fusca","analytis_77","cc",1.48430845182419,17.1232976436108
"232","pupa","Busseola fusca","analytis_77","Tmin",-14.7409330809437,303.347128377615
"233","pupa","Busseola fusca","analytis_77","Tmax",37.2499301056874,57.7556376575514
"234","pupa","Busseola fusca","ratkowsky_83","cc",18.0628175455805,32638.6998596158
"235","pupa","Busseola fusca","ratkowsky_83","T1",7.86005568274001,2.36217069629559
"236","pupa","Busseola fusca","ratkowsky_83","T2",48.4517725637427,13.9361035719349
"237","pupa","Busseola fusca","ratkowsky_83","k",-3.56133142576985e-05,0.0643083336038559
"238","pupa","Busseola fusca","hilbertLogan_83",NA,NA,NA
"239","pupa","Busseola fusca","beta_95","mu",-356.284795075323,47339.1895073973
"240","pupa","Busseola fusca","beta_95","Tb",-178.5709656612,20132.4353695726
"241","pupa","Busseola fusca","beta_95","Tc",45.4822761745569,294.108455870726
"242","pupa","Busseola fusca","beta_95","aa",63.3676266422233,7590.53529888175
"243","pupa","Busseola fusca","beta_95","bb",5.54464562230109,213.338101433866
"244","pupa","Busseola fusca","beta_16","rm",0.0725564839679784,0.00275589259793284
"245","pupa","Busseola fusca","beta_16","T1",-8.15734462578158,35.0130096713085
"246","pupa","Busseola fusca","beta_16","T2",35.3320266929306,2.54614223289626
"247","pupa","Busseola fusca","beta_16","Tm",27.6060940175253,0.523815159699456
"248","pupa","Busseola fusca","briere1_99","aa",5.46108045102262e-05,8.36155446356722e-06
"249","pupa","Busseola fusca","briere1_99","Tmin",7.98271449539403,1.48012834988191
"250","pupa","Busseola fusca","briere1_99","Tmax",33.5369203462981,0.826179260393511
"251","pupa","Busseola fusca","briere2_99","aa",7.23284825570325e-05,4.48315829964337e-05
"252","pupa","Busseola fusca","briere2_99","Tmin",6.74313274102015,4.48252793940194
"253","pupa","Busseola fusca","briere2_99","Tmax",32.2306117248593,3.21200996042948
"254","pupa","Busseola fusca","briere2_99","bb",2.74440130200493,2.56465991052219
"255","pupa","Busseola fusca","kontodimas_04","aa",1.54921748194913e-05,4.28579725178747e-06
"256","pupa","Busseola fusca","kontodimas_04","Tmin",6.82735605143274,1.18818744536375
"257","pupa","Busseola fusca","kontodimas_04","Tmax",38.2210623666636,1.69343550611256
"258","pupa","Busseola fusca","shi_11","cc",111.898035117741,769311.708456348
"259","pupa","Busseola fusca","shi_11","k1",4.11744418858989e-05,0.28315706403395
"260","pupa","Busseola fusca","shi_11","T1",9.53345329699954,6.45848712099394
"261","pupa","Busseola fusca","shi_11","k2",0.344506929257042,1.83675106439153
"262","pupa","Busseola fusca","shi_11","T2",33.6629709160969,10.1045352664827
"263","pupa","Busseola fusca","perf2_11","cc",0.00460586785567469,0.0009986697188714
"264","pupa","Busseola fusca","perf2_11","T1",9.53221695693588,1.66059089545977
"265","pupa","Busseola fusca","perf2_11","k",0.344322394992257,0.324835924315757
"266","pupa","Busseola fusca","perf2_11","T2",33.6637359706942,2.64269900435635
"267","pupa","Busseola fusca","regniere_12","phi",0.0192855575643754,3.52126486300454
"268","pupa","Busseola fusca","regniere_12","bb",0.133283581407747,2785.31878584467
"269","pupa","Busseola fusca","regniere_12","Tb",7.31587374017005,138.263696416334
"270","pupa","Busseola fusca","regniere_12","Tm",34.6067995085143,20.3120923117545
"271","pupa","Busseola fusca","regniere_12","deltab",163.13905952491,574737.193550397
"272","pupa","Busseola fusca","regniere_12","deltam",7.3638244775601,10007.4885408122
"273","egg","Ostrinia nubilalis","analytis_77","aa",2.16705435968489e-13,9.59129002225843e-11
"274","egg","Ostrinia nubilalis","analytis_77","bb",3.4161116014704,25.0052679737162
"275","egg","Ostrinia nubilalis","analytis_77","cc",4.61467015178037,82.0379633977057
"276","egg","Ostrinia nubilalis","analytis_77","Tmin",5.38778495545962,56.9970977701473
"277","egg","Ostrinia nubilalis","analytis_77","Tmax",69.3578536404045,463.309924497774
"278","egg","Ostrinia nubilalis","ratkowsky_83","cc",0.0907556609915296,0.424233249834906
"279","egg","Ostrinia nubilalis","ratkowsky_83","T1",9.25249591434245,3.39060447404383
"280","egg","Ostrinia nubilalis","ratkowsky_83","T2",52.8892509413211,16.0764119039645
"281","egg","Ostrinia nubilalis","ratkowsky_83","k",0.014430137859321,0.087476834547671
"282","egg","Ostrinia nubilalis","hilbertLogan_83","phi",0.831395492401267,22.8326488759418
"283","egg","Ostrinia nubilalis","hilbertLogan_83","aa",23.5699602957281,381.176896184241
"284","egg","Ostrinia nubilalis","hilbertLogan_83","Tb",8.06777719637015,114.063525473127
"285","egg","Ostrinia nubilalis","hilbertLogan_83","Tmax",39.7777029592227,304.696044286516
"286","egg","Ostrinia nubilalis","hilbertLogan_83","deltaT",8.64671433147617,217.63933709411
"287","egg","Ostrinia nubilalis","beta_95","mu",-229.557281490326,18387.7779492465
"288","egg","Ostrinia nubilalis","beta_95","Tb",-1.91159850119367e-05,110.644407806913
"289","egg","Ostrinia nubilalis","beta_95","Tc",223.612681521608,12467.8261061157
"290","egg","Ostrinia nubilalis","beta_95","aa",6.67105201177302,92.1320091921191
"291","egg","Ostrinia nubilalis","beta_95","bb",39.0435408125488,2950.77101400237
"292","egg","Ostrinia nubilalis","beta_16","rm",0.290030249394583,0.0100053999379686
